ID,NTA Name,Borough,Total households,Households living alone,Households older then 65y,Tot population,Males,Females,Under 18y,Over 65y ,Hispanic/Latino,White,Black or AfroAmerican,Asian,Population over 16y,Workers 16y and over,Commuting to work by driving,Commuting to work by car pooling,Commuting to work by public transport,Going to work by walk,Working at home,Mean travel time to work,Civilians employed over 16y,Private wage or salary workers,Government workers,Self employers,Unpaid person family workers,Households income less 10000$,Mean households income ,Annual income per capita ,Median earning for workers ,Civilians noninstitutionals with health insurance (private and public),Not covered by health insurance,People which poverty state is determined,geometry
122,New Dorp,Staten Island,7662,1709,769,21358,10367,10991,4621,3179,3043,16380,208,1582,17282,9540,5303,841,2849,251,153,40.6,9634,7465,1900,260,9,397,92357,33572,45578,19988,1370,21358,POINT (951890.7625413537 147901.5005068481)
123,New Springville-Bloomfield-Travis,Staten Island,13754,2646,1097,40907,19502,21405,8873,6862,5771,25847,2096,6211,33186,17964,10270,1870,4779,386,554,41.3,18155,13440,3711,968,36,874,93531,31938,42777,37917,2156,40073,POINT (938437.1424670219 155821.7120286077)
124,North Corona,Queens,12178,1532,553,54677,29987,24690,14759,3437,48057,547,1811,3855,40891,26100,3477,1139,18604,2309,218,43.2,26696,23112,1214,2365,5,563,60921,15199,21182,34450,20227,53909,POINT (1023725.492559269 214037.1877890229)
125,North Riverdale-Fieldston-Riverdale,The Bronx,10684,4301,2114,27145,12758,14387,5161,6025,5926,17274,1660,1792,22410,11910,4245,763,5082,784,848,43.4,12190,9382,1908,877,23,520,114400,46209,53311,24985,1081,23939,POINT (1010639.035464525 270299.2576793581)
126,North Side-South Side,Brooklyn,23134,7688,1364,54330,27348,26982,9660,3761,18952,28571,1581,3829,45544,31482,2457,399,22002,2929,2312,33.4,32165,26955,2211,2968,31,1968,104645,45422,48152,48606,5715,54303,POINT (995669.052281186 199708.4546355158)
127,Norwood,The Bronx,14663,4622,1137,42666,20525,22141,11651,3947,26850,4087,5853,4780,32074,16756,2171,734,11149,1736,663,44.7,17322,14346,1630,1312,34,2392,45403,16648,22767,36455,5631,42026,POINT (1017603.722650602 258897.1679507643)
128,Oakland Gardens,Queens,11051,3253,1325,28669,14015,14654,5858,5168,2307,11361,766,13318,23457,13433,7002,1563,4049,183,545,44.5,13798,10975,2094,729,0,524,95781,37845,46416,26564,2105,28648,POINT (1052151.149618611 211020.5671818554)
129,Oakwood,Staten Island,7987,2203,1317,20618,9333,11285,3785,4345,2500,16952,544,448,17332,9126,5324,709,2699,167,129,45.8,9351,6663,2426,251,11,433,94894,37037,50298,19795,806,20598,POINT (950470.5445812792 142762.7801412642)
130,Ocean Hill,Brooklyn,12625,4240,1363,34025,15457,18568,9463,3569,6927,1310,24756,638,25716,13300,2379,306,9515,568,406,45.3,13458,9978,2853,606,21,2104,50288,19445,31271,30010,3988,33768,POINT (1008362.293626949 186448.7226248533)
131,Ocean Parkway,Brooklyn,6832,1849,905,21253,10518,10735,6895,2939,1733,17545,229,1082,15103,8001,2561,632,3294,1068,300,35.3,8235,6588,984,648,15,682,89512,29113,33170,19489,1764,21231,POINT (993032.7235643566 162632.1767541021)
